age,co2
291562.87,217.10
292818.31,207.60
293650.74,206.00
294455.29,206.70
295364.23,212.70
296828.87,213.10
298704.62,217.10
299376.28,224.40
300115.87,231.00
301025.62,236.10
302084.19,239.00
303116.00,236.00
304100.92,240.20
305099.81,240.70
305778.15,250.20
306581.12,248.60
307463.27,244.80
308325.70,225.80
309423.73,227.80
310010.98,226.20
310776.10,233.20
311670.03,237.80
312593.43,239.00
313343.13,241.90
314051.85,251.60
314836.21,256.70
315657.52,257.10
316450.72,246.80
317149.87,272.60
317932.55,251.60
318852.60,245.20
319829.66,233.40
320916.34,255.80
321817.45,249.20
323383.35,257.20
324166.92,260.40
325007.41,260.30
325823.00,260.50
326591.09,266.20
327435.84,264.00
328086.81,266.10
328770.75,270.10
329414.29,271.90
330053.33,275.10
331293.55,265.00
332144.12,271.70
332798.62,272.60
333500.09,273.10
333997.56,282.40
334349.50,289.10
334543.89,288.40
335102.31,298.60
335707.51,278.10
336377.54,285.80
336867.82,278.60
337516.67,270.50
338213.50,255.70
338991.44,241.90
339983.89,239.60
340735.08,234.20
342791.56,250.10
343923.59,200.70
345000.85,205.20
346320.91,204.80
347544.81,211.90
349139.09,220.30
351676.35,221.10
353174.60,216.20
354412.98,209.40
355817.77,209.20
359010.38,193.00
360683.84,186.10
362567.60,185.80
365190.23,201.20
368065.90,206.30
371385.87,201.90
373457.62,199.90
375204.60,214.70
377034.88,224.60
378760.24,229.60
382931.49,227.00
384557.45,240.00
386283.71,239.10
387824.82,246.80
389410.21,245.80
392287.25,258.10
392977.15,259.50
394003.69,273.60
394906.10,260.70
398275.13,276.30
399926.16,277.10
400710.08,283.20
402140.92,283.10
402859.84,275.70
404313.30,276.50
405062.63,280.50
406542.80,279.60
407282.50,285.60
408818.72,284.50
409598.24,274.70
410453.80,282.60
411347.97,283.50
413258.65,274.90
414210.86,264.90
415179.59,271.60
415945.61,276.40
416425.32,271.70
417440.44,273.40
417956.78,271.80
418505.30,274.60
419575.78,273.70
420133.76,271.20
420701.76,273.80
421912.15,268.60
422532.65,266.40
423225.50,270.60
424507.75,267.70
425132.26,268.30
425740.91,270.80
426237.27,270.00
426621.56,265.40
427154.96,255.30
427941.40,252.10
428840.20,248.20
429178.36,242.50
431023.76,219.70
432179.31,227.20
433850.30,211.50
434379.07,207.60
435939.69,209.80
437485.42,207.50
439063.42,200.30
440659.58,201.70
442230.78,201.30
443844.65,202.00
445331.73,199.10
447219.18,201.10
448459.18,203.50
449571.04,208.10
450642.89,201.70
451747.28,201.20
452735.84,204.90
453775.64,201.90
454864.31,198.40
456001.61,193.30
457114.44,192.50
457745.13,199.10
458208.29,204.30
458794.01,203.30
459211.55,208.30
460252.21,202.40
461286.06,195.50
462414.10,190.70
463526.65,194.40
464599.47,199.90
465265.36,205.20
465601.73,210.00
466632.30,208.10
467706.64,204.40
468877.71,203.40
470040.13,205.50
470725.98,206.50
471200.79,215.50
471824.53,218.70
472263.07,229.20
472863.27,232.70
473217.82,243.70
473800.85,243.90
474092.36,245.60
474974.11,241.20
475925.20,233.10
476949.80,232.80
477941.00,236.60
478892.46,239.10
479402.95,236.50
479775.69,231.30
480328.30,220.80
480726.68,218.80
481662.96,223.80
482580.96,223.40
483395.38,227.30
484179.79,231.40
484936.18,231.40
485667.52,231.20
486398.67,233.00
487129.25,232.90
487848.07,231.30
488565.45,237.10
489302.09,242.00
489719.79,240.90
490026.29,252.80
490494.91,249.30
490733.95,242.60
491451.08,243.30
492154.55,246.70
492863.78,243.70
493593.11,239.70
494300.39,239.10
495024.13,238.30
495725.69,238.50
496444.07,237.60
497187.63,236.40
497965.98,236.50
498737.42,232.80
499526.78,230.60
500304.78,230.80
501083.96,228.20
501861.42,230.80
502637.64,231.20
503418.93,232.00
504177.19,232.20
504911.78,234.10
505684.24,233.90
506483.73,235.50
507312.40,236.00
508117.72,238.20
508940.98,237.00
509784.98,240.30
510652.33,233.40
511512.45,236.40
512363.78,235.20
513204.74,242.00
514033.12,238.20
514847.78,239.20
515650.78,241.50
516420.98,243.00
517154.98,247.20
517876.01,246.20
518600.46,245.50
519329.13,245.30
520073.36,247.70
520821.81,245.50
521574.47,243.50
523801.82,241.90
524570.87,236.80
525337.00,235.80
526107.00,233.70
526895.81,230.30
527698.69,227.80
528516.69,224.70
529403.43,222.70
530290.51,221.20
531201.38,220.30
532078.76,220.70
532592.53,214.50
532987.57,211.40
533554.37,204.40
533932.24,200.00
534668.18,195.10
535043.56,193.80
535695.05,190.50
536178.47,199.80
537334.47,199.40
538440.76,205.00
539513.82,206.40
540583.82,212.90
541653.82,211.20
542740.21,205.00
543844.87,203.60
544885.99,208.10
545864.91,210.30
546830.15,209.60
547806.68,209.70
548770.78,204.60
549720.11,202.50
550230.73,208.80
550582.55,213.60
551381.09,215.20
552111.09,219.90
552681.56,221.70
553020.92,222.30
553245.99,226.30
553619.39,222.10
553808.65,220.30
554479.62,223.60
555158.35,224.30
555842.35,226.70
556407.02,233.90
556923.29,241.00
557198.65,243.00
557385.05,249.10
557657.14,244.00
557838.21,250.50
558154.56,245.60
558306.02,240.40
558777.69,238.10
559316.01,234.50
559636.76,229.70
559872.62,230.20
560436.62,230.30
560965.60,228.30
561450.74,231.60
561888.07,231.90
562310.49,234.60
562655.60,234.10
563134.85,240.10
563535.74,242.30
563927.90,245.70
564310.56,245.80
564724.36,247.60
565134.30,251.40
565538.96,252.40
565895.64,252.60
566245.30,251.40
566588.64,253.70
566918.35,254.30
567239.49,253.90
567548.65,254.50
567884.89,253.20
568204.14,253.90
568534.24,252.80
568930.15,253.00
569314.59,250.20
569683.93,251.30
570067.25,250.00
570463.46,251.30
570862.13,251.80
571261.44,251.80
571633.36,249.60
571974.69,251.60
572315.50,250.30
572669.87,246.31
573053.52,247.66
573475.75,249.19
573913.02,248.72
574364.65,251.77
574806.00,251.86
575233.96,252.08
575654.53,248.86
576112.85,252.54
576599.10,252.90
577115.10,251.30
577653.85,251.34
578196.35,251.08
578742.35,249.06
579280.55,252.92
579833.12,251.47
580210.50,244.14
580401.78,243.81
580814.00,236.17
581118.65,230.26
581546.53,225.21
581928.30,219.41
582454.53,215.45
582836.30,209.88
583574.25,206.68
583958.80,210.64
586720.84,223.96
587171.85,225.99
587888.67,234.40
588279.35,238.78
588940.90,246.35
589425.35,250.20
590040.15,248.10
590488.80,243.56
