bag,ptop,age,dd,d18o,deutex
399,218.9,6605.66,-403.1,-51.57,9.5
400,219.45,6626.56,-406.1,-51.97,9.7
401,220,6647.39,-390.4,-50.01,9.7
402,220.55,6668.2,-392.6,-50.06,7.9
403,221.1,6688.94,-395.7,-50.51,8.4
404,221.65,6709.63,-402.9,-51.47,8.9
405,222.2,6730.25,-401.9,-51.34,8.8
406,222.75,6750.8,-401.2,-51.16,8.1
407,223.3,6771.29,-400.4,-51.24,9.5
408,223.85,6791.69,-397.5,-50.88,9.5
409,224.4,6812.05,-389.4,-49.92,10.0
410,224.95,6832.39,-395.4,-50.44,8.1
411,225.5,6852.75,-387.9,-49.65,9.3
412,226.05,6873.18,-398.3,-50.97,9.5
413,226.6,6893.69,-398.7,-51.06,9.8
414,227.15,6914.33,-401.3,-51.25,8.7
415,227.7,6935.11,-396.8,-50.85,10.0
416,228.25,6956.03,-395.6,-50.79,10.7
417,228.8,6977.14,-402.5,-51.62,10.5
418,229.35,6998.38,-399.5,-51.01,8.6
419,229.9,7019.83,-397.8,-50.87,9.2
420,230.45,7041.38,-400.5,-51.23,9.3
421,231,7063.14,-400.8,-51.34,9.9
422,231.55,7084.98,-396.1,-50.84,10.6
423,232.1,7106.96,-405.3,-51.63,7.7
424,232.65,7128.98,-411.9,-52.63,9.1
425,233.2,7151.04,-401.7,-51.42,9.7
426,233.75,7172.44,-399.3,-51.16,10.0
427,234.3,7193.25,-404.7,-51.66,8.6
428,234.85,7213.1,-403.1,-51.42,8.3
429,235.4,7232.52,-402.3,-51.61,10.6
430,235.95,7251.85,-396.1,-50.76,10.0
431,236.5,7271.16,-388.3,-49.67,9.1
432,237.05,7290.43,-398.5,-50.94,9.0
433,237.6,7309.69,-406.3,-51.93,9.1
434,238.15,7328.92,-399.9,-51.13,9.1
435,238.7,7348.12,-404.7,-51.73,9.1
436,239.25,7367.28,-403.8,-51.57,8.8
437,239.8,7386.35,-395,-50.46,8.7
438,240.35,7405.36,-402.8,-51.43,8.6
439,240.9,7424.21,-404.2,-51.61,8.7
440,241.45,7443,-399.1,-51.01,9.0
441,242,7461.62,-393.3,-50.31,9.2
442,242.55,7480.17,-399.1,-51.09,9.6
443,243.1,7498.61,-389.2,-49.76,8.9
444,243.65,7517.02,-397.7,-50.83,8.9
445,244.2,7535.39,-388.4,-49.77,9.8
446,244.75,7553.76,-400.3,-51.34,10.4
447,245.3,7572.13,-403.7,-51.72,10.1
448,245.85,7590.52,-398.3,-50.87,8.7
449,246.4,7608.92,-396.1,-50.51,8.0
450,246.95,7627.34,-390.7,-49.92,8.7
451,247.5,7645.79,-404.7,-51.65,8.5
452,248.05,7664.27,-400.2,-51.16,9.1
453,248.6,7682.78,-388.5,-49.75,9.5
454,249.15,7701.34,-390.4,-49.92,9.0
455,249.7,7719.95,-405.5,-51.95,10.1
456,250.25,7738.62,-399.5,-51.21,10.2
457,250.8,7757.34,-402.1,-51.40,9.1
458,251.35,7776.11,-402.2,-51.44,9.3
459,251.9,7794.96,-395.2,-50.57,9.4
460,252.45,7813.86,-391.6,-50.01,8.5
461,253,7832.89,-396.5,-50.76,9.6
462,253.55,7852,-399.5,-51.06,9.0
463,254.1,7871.28,-400.6,-51.12,8.4
464,254.65,7890.67,-401.6,-51.34,9.1
465,255.2,7910.21,-400.6,-51.17,8.8
466,255.75,7929.87,-406.3,-51.96,9.4
467,256.3,7949.63,-398.3,-51.09,10.4
468,256.85,7969.5,-411.7,-52.79,10.6
469,257.4,7989.43,-399.8,-51.13,9.2
470,257.95,8009.43,-396.9,-50.76,9.2
471,258.5,8029.45,-401.4,-51.46,10.3
472,259.05,8049.51,-405.3,-51.77,8.9
473,259.6,8069.55,-408.3,-52.31,10.2
474,260.15,8089.58,-406.5,-52.24,11.4
475,260.7,8109.57,-400.8,-51.22,9.0
476,261.25,8129.52,-403.2,-51.58,9.4
477,261.8,8149.4,-397.5,-50.83,9.1
478,262.35,8169.25,-401,-51.20,8.6
479,262.9,8189.04,-401.5,-51.44,10.0
480,263.45,8208.8,-400.4,-51.26,9.7
481,264,8228.51,-400.3,-51.26,9.8
482,264.55,8248.17,-407.3,-52.03,8.9
483,265.1,8267.75,-403,-51.66,10.3
484,265.65,8287.26,-404.2,-51.82,10.4
485,266.2,8306.67,-401.2,-51.47,10.6
486,266.75,8325.97,-397.2,-51.00,10.8
487,267.3,8345.19,-396.9,-50.79,9.4
488,267.85,8364.28,-397.8,-50.83,8.8
489,268.4,8383.31,-409.5,-52.39,9.6
490,268.95,8402.23,-397.1,-50.82,9.5
491,269.5,8421.12,-390.3,-49.95,9.3
492,270.05,8439.95,-397.5,-50.88,9.5
493,270.6,8458.78,-401.9,-51.25,8.1
494,271.15,8477.61,-392.4,-50.23,9.4
495,271.7,8496.47,-399.9,-51.20,9.7
496,272.25,8515.36,-399.3,-51.11,9.6
497,272.8,8534.3,-396.7,-50.81,9.8
498,273.35,8553.28,-402.1,-51.43,9.3
499,273.9,8572.28,-401.8,-51.41,9.5
500,274.45,8591.3,-397.5,-50.91,9.8
501,275,8610.32,-400.2,-51.30,10.2
502,275.55,8629.32,-395,-50.53,9.2
503,276.1,8648.27,-404.4,-51.79,9.9
504,276.65,8667.18,-402.1,-51.51,10.0
505,277.2,8686.02,-397.9,-50.88,9.1
506,277.75,8704.79,-393.4,-50.50,10.6
507,278.3,8723.49,-397.7,-50.96,10.0
508,278.85,8742.12,-397.4,-50.69,8.1
509,279.4,8760.71,-397.4,-50.77,8.8
510,279.95,8779.25,-399,-51.00,9.0
511,280.5,8797.78,-391.8,-50.04,8.5
512,281.05,8816.3,-392.7,-50.28,9.5
513,281.6,8834.84,-401.1,-51.29,9.2
514,282.15,8853.41,-396.1,-50.62,8.9
515,282.7,8872,-397.7,-50.76,8.4
516,283.25,8890.63,-395.6,-50.57,9.0
517,283.8,8909.29,-398.6,-50.97,9.2
518,284.35,8927.97,-394.9,-50.51,9.2
519,284.9,8946.65,-394.9,-50.62,10.1
520,285.45,8965.31,-407.4,-52.09,9.3
521,286,8983.91,-403.4,-51.56,9.1
522,286.55,9002.46,-392.2,-50.13,8.8
523,287.1,9020.9,-400.4,-51.10,8.4
524,287.65,9039.27,-391.1,-49.96,8.6
525,288.2,9057.53,-388.5,-49.66,8.8
526,288.75,9075.71,-394.8,-50.36,8.1
527,289.3,9093.82,-397.7,-50.77,8.5
528,289.85,9111.85,-401.2,-51.36,9.7
529,290.4,9129.84,-391.9,-50.21,9.8
530,290.95,9147.75,-393.3,-50.27,8.9
531,291.5,9165.62,-394.3,-50.34,8.4
532,292.05,9183.42,-395,-50.51,9.1
533,292.6,9201.21,-392.4,-50.14,8.7
534,293.15,9218.98,-393.5,-50.20,8.1
535,293.7,9236.74,-390,-49.85,8.8
536,294.25,9254.51,-49.85
537,294.8,9272.3,-388.5,-49.74,9.4
538,295.35,9290.1,-394.3,-50.41,9.0
539,295.9,9307.9,-403.6,-51.69,9.9
540,296.45,9325.69,-393.3,-50.29,9.0
541,297,9343.44,-398,-50.95,9.6
542,297.55,9361.14,-391,-50.05,9.4
543,298.1,9378.75,-395.8,-50.49,8.1
544,298.65,9396.29,-386.4,-49.30,8.0
545,299.2,9413.73,-391.8,-50.08,8.8
546,299.75,9431.08,-398.2,-50.91,9.1
547,300.3,9448.36,-391.6,-50.13,9.4
548,300.85,9465.55,-393.4,-50.41,9.9
549,301.4,9482.69,-384.4,-49.08,8.2
550,301.95,9499.78,-391.3,-50.07,9.3
551,302.5,9516.87,-391,-49.95,8.6
552,303.05,9533.97,-388.3,-49.63,8.7
553,303.6,9551.1,-391.4,-49.99,8.5
554,304.15,9568.32,-382.9,-48.91,8.4
555,304.7,9585.61,-387.2,-49.53,9.0
556,305.25,9603,-405.5,-51.94,10.0
557,305.8,9620.48,-391.7,-50.06,8.8
558,306.35,9638.02,-392.1,-50.17,9.3
559,306.9,9655.62,-400.4,-51.19,9.1
560,307.45,9673.24,-386.7,-49.62,10.3
561,308,9690.88,-394.5,-50.55,9.9
562,308.55,9708.51,-389.9,-49.93,9.5
563,309.1,9726.12,-394.7,-50.48,9.1
564,309.65,9743.7,-396.6,-50.81,9.9
565,310.2,9761.24,-388.6,-49.63,8.4
566,310.75,9778.72,-392.9,-50.36,10.0
567,311.3,9796.15,-395.2,-50.40,8.0
568,311.85,9813.51,-389.1,-49.94,10.4
569,312.4,9830.82,-388.7,-49.72,9.1
570,312.95,9848.08,-391.8,-50.00,8.2
571,313.5,9865.31,-388.8,-49.65,8.4
572,314.05,9882.5,-397.7,-50.81,8.8
573,314.6,9899.69,-390.4,-49.84,8.3
574,315.15,9916.89,-382.1,-48.89,9.0
575,315.7,9934.13,-387.9,-49.43,7.5
576,316.25,9951.42,-390.6,-49.71,7.1
577,316.8,9968.8,-393.3,-50.16,8.0
578,317.35,9986.25,-388.1,-49.77,10.1
